Time (hour),CO,NO2,Ozone,SO2
2024-09-27 20:00:00,0.811424333,5.972208833,15.83385383,8.114000667
2024-09-27 21:00:00,0.8047125,4.725827167,14.5148445,7.4673865
2024-09-27 22:00:00,0.809388833,4.916626,13.09854367,7.981259167
2024-09-27 23:00:00,0.773607167,3.998237667,15.1301435,7.9764815
2024-09-28 00:00:00,0.802663,4.936636667,14.13494833,7.439460667
2024-09-28 01:00:00,0.798331333,5.095484833,15.51498383,7.169359667
2024-09-28 02:00:00,0.790637,2.608692833,19.61534617,7.038895167
2024-09-28 03:00:00,0.7937635,4.061646,13.48064333,7.161805
2024-09-28 04:00:00,0.787083333,6.467783667,9.6963505,7.845417833
2024-09-28 05:00:00,0.827685333,10.86899067,28.4239935,20.7340575
2024-09-28 06:00:00,0.80743,9.713073833,8.361328667,30.9565355
2024-09-28 07:00:00,0.816996167,4.362071667,14.53136983,11.79525483
2024-09-28 08:00:00,0.819162833,2.825915833,20.60960683,9.582511833
2024-09-28 09:00:00,0.832066333,2.743498333,24.289072,9.112185667
2024-09-28 10:00:00,0.828643667,3.301918333,33.109155,9.1211955
2024-09-28 11:00:00,0.836302833,3.009813167,47.52017017,9.2200135
2024-09-28 12:00:00,0.846772167,4.588844167,63.97942483,10.84744967
2024-09-28 13:00:00,0.851682833,6.690579167,73.01009367,14.425786
2024-09-28 14:00:00,0.875941333,7.911223667,74.12676867,16.14131633
2024-09-28 15:00:00,0.892458667,7.194362667,55.15410033,13.1485565
2024-09-28 16:00:00,0.884298,6.1167105,54.07726417,10.78438467
2024-09-28 17:00:00,0.895829167,8.325825333,47.002494,10.8159525
2024-09-28 18:00:00,0.904081167,9.321688833,22.13493733,10.52116717
2024-09-28 19:00:00,0.947576833,10.74822717,13.082165,9.857790667
2024-09-28 20:00:00,1.0060195,14.85658067,4.5685355,9.545171667
2024-09-28 21:00:00,0.986214667,13.14790883,6.8377535,9.536402667
2024-09-28 22:00:00,0.915446833,6.341066333,14.15649817,9.130422667
2024-09-28 23:00:00,0.930309,9.115864333,5.611831833,9.318527167
2024-09-29 00:00:00,0.931674333,12.85267717,2.669443,7.136089167
2024-09-29 01:00:00,0.8785325,10.43371767,7.976242333,5.402386
2024-09-29 02:00:00,0.853391667,6.7366975,9.602012,5.253919667
2024-09-29 03:00:00,0.9294915,9.501266167,2.258458,6.225656
2024-09-29 04:00:00,0.898866333,9.639090667,2.052325667,6.8481365
2024-09-29 05:00:00,0.89554,9.0690805,1.451841667,7.832293667
2024-09-29 06:00:00,0.948335667,10.08726167,27.0513005,11.97062983
2024-09-29 07:00:00,0.948463833,6.853438,18.04736333,13.39504983
2024-09-29 08:00:00,0.939549167,5.388085333,21.86929183,11.03224367
2024-09-29 09:00:00,0.9048545,2.947626667,39.362374,9.117445333
2024-09-29 10:00:00,0.8899265,1.364855333,45.8974385,7.885563
2024-09-29 11:00:00,0.888190333,1.679164,50.58034767,7.539022
